fecha,rollbit-coin_price,rollbit-coin_market_cap,rollbit-coin_volume,kaspa_price,kaspa_market_cap,kaspa_volume,injective-protocol_price,injective-protocol_market_cap,injective-protocol_volume,bitget-token_price,bitget-token_market_cap,bitget-token_volume,render-token_price,render-token_market_cap,render-token_volume,okb_price,okb_market_cap,okb_volume,xdce-crowd-sale_price,xdce-crowd-sale_market_cap,xdce-crowd-sale_volume,ripple_price,ripple_market_cap,ripple_volume,bitcoin_price,bitcoin_market_cap,bitcoin_volume,litecoin_price_x,litecoin_market_cap_x,litecoin_volume_x
2023-03-14,0.03482902025901812,115291326.89488025,2265806.596621459,0.012599825242472303,214826343.00451452,3111465.405302502,4.135855287023083,322936955.49047446,96880510.2858921,0.37168656958969576,517734296.16182923,17276642.038907602,1.2734809383118928,459940961.43747157,136077237.2811748,47.33006783136354,2840457631.724196,106534684.63760741,0.03069180317335464,423730669.10140854,2146992.1987973666,0.3741326627142878,19067422016.807568,1880603926.4135096,24178.95532797469,466509005562.78174,66799159801.958115,81.69940683741116,5925182832.084372,1508823435.612128
2023-03-15,0.038513668035704926,126872964.96072896,1866276.5311738641,0.013858248380429051,242423561.99013603,3476089.909068547,4.290172668548508,342312902.6728023,81584188.8302959,0.38290029884639654,535845048.2587708,13477204.100798935,1.3878234896925132,501392055.2531685,127290889.59132877,49.270303161177566,2954832695.3348503,84408788.06410898,0.03057373101282099,422337500.73201567,1925666.7490138458,0.37489297291405715,19095493029.564106,1673162184.292314,24758.765085827567,478406045309.6089,70714394276.37074,84.33640495998216,6134642212.782551,965041163.0613216
2023-03-16,0.035243305846370615,116124917.25040853,2100337.69231243,0.013142099470278858,227368697.91144782,3067362.028169263,4.042278050024987,325380032.8779468,56650728.4369581,0.36972321864031304,518038398.11198956,5995615.639323983,1.2529336909631337,454063242.88620764,108193507.58843295,47.472007133315365,2847615362.757653,62937467.923434876,0.0319569703819055,441888152.81424797,3070154.502499993,0.36204011755919946,18449948264.467854,1224433592.2436776,24470.88205445031,472833547484.0809,63107437928.81401,76.60566419826178,5548847719.175217,891315313.1610636
2023-03-17,0.03489097537002611,115812789.32774629,762921.2080637352,0.01358764688951162,235451477.45996508,2882811.3340879097,4.098298007032249,327849338.2420088,50897079.34484499,0.3721801830998318,521926628.5545196,5857973.141241939,1.3521618667723359,489202841.5762569,68852850.89514287,47.69971270422878,2858586086.5732,54093541.10262264,0.03241372697345252,447891996.6530258,1870303.1732384935,0.36834272427536696,18785035463.22649,814391190.5999308,25161.272017520052,486375597562.7987,60688056874.81415,79.4278327974776,5767644685.885365,607699772.1139194
2023-03-18,0.0350795845495634,115712852.66590877,2849831.508453086,0.014269176532614938,247301123.59486887,3411762.9001961295,4.820740426769074,384580456.2131051,69677345.52861665,0.37757498122659616,530959722.14087194,11349491.564995531,1.520438660455076,544519369.176133,75795411.46031167,49.79892119307188,2987157703.4229665,65115258.15799213,0.035494628812165564,488086422.7206666,3094101.5213651843,0.38098351230143557,19395225306.86912,1269614935.2024417,27466.677829829863,530038219067.3334,64617615617.80156,85.60417146063327,6184452955.777691,696702247.2474911
2023-03-19,0.03114072403143986,102464998.79016992,2034130.2839628311,0.01411392372271857,243498944.82112166,3250947.9880028903,4.468722440130489,358711918.89919233,53271814.42060343,0.392758371129628,548852826.6444979,8453076.862361856,1.465873924815107,527371771.2865522,88688661.40211144,47.89159570691841,2876249612.1571994,75540045.04480547,0.03460504978492306,478286066.0659344,2431290.6233000164,0.37641337100193617,19170540663.397667,1097398135.405194,27107.792183504385,523262280970.14777,46473651090.578415,83.34192655172772,6024350467.809231,710145092.3600591
2023-03-20,0.02906487464068718,96117540.29354253,1848678.373301383,0.016598661975781068,286503427.997696,4219029.141304371,4.335711469060424,348528140.9036573,42599251.62838274,0.3826487541581891,538260039.9095118,6007518.9932452105,1.4840811145070547,540869991.0682576,73765479.07294121,48.352382569962536,2914452641.2066298,42845191.05755596,0.03537290335070152,490045173.959035,4368452.3663498,0.38928658424177115,19979252277.275562,1440416397.35073,28186.842652360127,546680822196.2155,46394763656.038155,85.01609331114764,6189066427.965131,551913905.2870497
2023-03-21,0.028041578878197842,92942016.39654309,1060992.7513320693,0.017431471426499763,303464030.4425881,4449630.234670622,4.007516233689436,320205962.4628143,42615523.695410475,0.36596301579218055,515079247.53400326,7423911.438122651,1.3521763061622307,488389303.4915561,67779874.56478241,44.94509602211206,2701900872.4849176,53989113.993100956,0.03969273198286661,547120233.1984758,7206093.615718175,0.3772352416274596,19226276544.650375,1313128522.9714599,27929.167733140293,538935400013.3555,55315948514.426994,78.64575834452634,5716160613.366946,669354486.3817476
2023-03-22,0.025761472861181453,84838502.75883287,1225637.8018382879,0.015908008370828876,276996781.84006006,7287999.208765222,4.256360130793739,340088641.38879687,47164950.42247726,0.37745592460169053,528438671.8982913,9103735.897682844,1.3567539345615043,489588070.99289525,58539412.30887511,45.48794211824899,2727360299.315573,49281710.850715585,0.03985331743587257,550684678.0150813,13247265.322672946,0.47074919177491503,23963597176.994377,4548747517.178309,28264.23961052235,545917428270.10583,34430928756.27183,82.97827501987076,6014515508.07291,578120962.0363922
2023-03-23,0.022882163201840288,75239867.75207964,1870167.5655932724,0.01609686357483624,281727117.83416003,9179250.044545343,4.149934669632783,331669571.8169226,49289071.82072794,0.3893838491367206,541687314.8386397,21383917.898979973,1.3906327726346792,502550863.2549063,96471229.22972254,45.684472282923956,2729523587.4782567,50250883.63771873,0.03924593117752192,542245206.7241076,6223120.355351003,0.42521840812674166,21687465409.827747,4517426407.7119665,27449.254830807356,530515158753.954,35394833933.50181,87.8623270363498,6369726692.521464,1073781810.6452906
